id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV004897706,ita,,La Chiesa greca in Italia dall'VIII al XVI secolo,,,Padova,Antenore,(1973),,,,BV000000856,Italia sacra
BV004897707,ita,,La Chiesa greca in Italia dall'VIII al XVI secolo,,,Padova,Antenore,(1972),,,,BV000000856,Italia sacra
BV004897708,ita,,La Chiesa greca in Italia dall'VIII al XVI secolo,,,Padova,Antenore,(1973),,,,BV000000856,Italia sacra
BV004899345,ger,,Lexikon der Ägyptologie,,hrsg. von Wolfgang Helck und Eberhard Otto,Wiesbaden,Harrassowitz,1992,"Helck, Wolfgang|Helck, Wolfgang|Westendorf, Wolfhart|Otto, Eberhard|Meyer, Christine|Westendorf, Wolfhart",,,,
BV004899478,ger,,Schatzkammern Europas,,hrsg. von Erich Steingräber,München,Hirmer,1968,"Steingräber, Erich",,,,
BV004899774,eng,,Antioch on-the-Orontes,,ed. by Richard Stillwell,Princeton,Princeton Univ. Press,1938,"Stillwell, Richard|Elderkin, George W.|Stillwell, Richard|Waage, Frederick O.",,,,
BV004899775,eng,,Antioch on-the-Orontes,,ed. by Richard Stillwell,Princeton,Princeton Univ. Press,1941,"Stillwell, Richard|Elderkin, George W.|Stillwell, Richard|Waage, Frederick O.",,,,
BV004899776,eng,,Antioch on-the-Orontes,,ed. by Frederick O. Waage,Princeton,Princeton Univ. Press,1948,"Elderkin, George W.|Stillwell, Richard|Waage, Frederick O.",,,,
BV004899777,eng,,Antioch on-the-Orontes,,by Dorothy B. Waage,Princeton,Princeton Univ. Press,1952,"Waage, Dorothy B.|Elderkin, George W.|Stillwell, Richard|Waage, Frederick O.",,,,
BV004900789,ger,"Hegel, Georg Wilhelm Friedrich",Sämtliche Werke,,Georg Wilhelm Friedrich Hegel. Auf Grund des von Ludwig Boumann besorgten Orig.-Dr. im Faks.-Verfahren neu hrsg. von Hermann Glockner,Stuttgart,Frommann,1956,"Glockner, Hermann|Glockner, Hermann",,,,
BV004901351,fre,"Bérard, Victor",Les phéniciens et l'Odyssée,,,Paris,Colin,1927,,,,,
BV004901352,fre,"Bérard, Victor",Les phéniciens et l'Odyssée,,,Paris,Colin,1927,,,,,
BV004902293,eng,"Creswell, Keppel A. C.","A bibliography of the architecture, arts and crafts of Islam",,by K. A. C. Creswell,Cairo,American Univ. in Cairo Pr.,1973,"Pearson, James D.",,,,
BV004902304,ita,,Friendship's garland,,ed. by Vittorio Gabrieli,Roma,Ed. di Storia e Letteratura,(1966),"Gabrieli, Vittorio|Praz, Mario",,,BV001886112,Storia e letteratura
BV004902305,ita,,Friendship's garland,,ed. by Vittorio Gabrieli,Roma,Ed. di Storia e Letteratura,(1966),"Gabrieli, Vittorio|Praz, Mario",,,BV001886112,Storia e letteratura
BV004902672,ger,"Ariosto, Ludovico",Sämtliche poetischen Werke,,Ludovico Ariosto. Übertr. von Alfons Kissner,Berlin,Propyläen-Verl.,1922,"Kissner, Alfons",,,,
BV004902675,ita,,La pittura a Genova e in Liguria,,a cura di: Colette Bozzo Dufour ...,Genova,Sagep Editrice,1970,"Poleggi, Ennio|Bozzo Dufour, Colette|Bruno, Gianfranco",,,,
BV004902676,ita,,La pittura a Genova e in Liguria,,a cura di: Gianfranco Bruno ...,Genova,Sagep Editrice,1971,"Poleggi, Ennio|Bozzo Dufour, Colette|Bruno, Gianfranco",,,,
BV004902683,fre,"Labande, León-Honoré",Le Palais des papes et les monuments d'Avignon au XIVe siècle,,L.-H. Labande. Illustrations de Fernand Detaille,Marseille,Detaille,1925,"Detaille, Fernand",,,,
BV004902684,fre,"Labande, León-Honoré",Le Palais des papes et les monuments d'Avignon au XIVe siècle,,L.-H. Labande. Illustrations de Fernand Detaille,Marseille,Detaille,1925,"Detaille, Fernand",,,,
BV004903428,ger,"Nadler, Josef",Literaturgeschichte des deutschen Volkes,,von Josef Nadler,Berlin,Propyläen-Verl.,1938,,,,,
BV004905185,ita,"Martina, Giacomo",Pio IX,,Giacomo Martina [SJ],Roma,Univ. Gregoriana Ed.,1974,,,,BV000003794,Miscellanea historiae pontificiae
BV004905186,ita,"Martina, Giacomo",Pio IX,,Giacomo Martina [SJ],Roma,Univ. Gregoriana Ed.,1986,,,,BV000003794,Miscellanea historiae pontificiae
BV004905839,ger,,Künstler-Inventare,,hrsg. von A. Bredius. Unter Mitwirkung von O. Hirschmann,Haag,Nijhoff,1915,"Bredius, Abraham|Hirschmann, Otto",,,BV002790900,Quellenstudien zur holländischen Kunstgeschichte
BV004905840,ger,,Künstler-Inventare,,hrsg. von A. Bredius. Unter Mitwirkung von O. Hirschmann,Haag,Nijhoff,1916,"Bredius, Abraham|Hirschmann, Otto",,,BV002790900,Quellenstudien zur holländischen Kunstgeschichte
BV004906349,ger,,Studien zur vor- und frühgeschichtlichen Archäologie,,hrsg. von Georg Kossack und Günter Ulbert,München,Beck,1974,"Kossack, Georg|Ulbert, Günter|Werner, Joachim",,,,
